Year,Month,Accident
1991,1,794
1991,2,642
1991,3,694
1991,4,1043
1991,5,755
1991,6,968
1991,7,765
1991,8,880
1991,9,876
1991,10,1076
1991,11,900
1991,12,840
1992,1,820
1992,2,780
1992,3,700
1992,4,940
1992,5,940
1992,6,835
1992,7,1013
1992,8,800
1992,9,980
1992,10,970
1992,11,970
1992,12,758
1993,1,399
1993,2,537
1993,3,538
1993,4,947
1993,5,800
1993,6,871
1993,7,666
1993,8,758
1993,9,938
1993,10,798
1993,11,730
1993,12,582
1994,1,533
1994,2,366
1994,3,441
1994,4,447
1994,5,577
1994,6,687
1994,7,379
1994,8,553
1994,9,561
1994,10,719
1994,11,583
1994,12,434
1995,1,429
1995,2,286
1995,3,364
1995,4,412
1995,5,447
1995,6,543
1995,7,548
1995,8,647
1995,9,485
1995,10,588
1995,11,540
1995,12,356
1996,1,292
1996,2,231
1996,3,311
1996,4,386
1996,5,419
1996,6,450
1996,7,509
1996,8,488
1996,9,630
1996,10,558
1996,11,454
1996,12,493
1997,1,181
1997,2,229
1997,3,425
1997,4,404
1997,5,507
1997,6,468
1997,7,473
1997,8,376
1997,9,531
1997,10,545
1997,11,529
1997,12,481
1998,1,249
1998,2,206
1998,3,322
1998,4,365
1998,5,368
1998,6,395
1998,7,441
1998,8,432
1998,9,428
1998,10,492
1998,11,422
1998,12,339
1999,1,215
1999,2,241
1999,3,429
1999,4,278
1999,5,434
1999,6,410
1999,7,365
1999,8,466
1999,9,427
1999,10,354
1999,11,418
1999,12,387
2000,1,180
2000,2,229
2000,3,308
2000,4,373
2000,5,380
2000,6,385
2000,7,471
2000,8,403
2000,9,366
2000,10,455
2000,11,407
2000,12,278
2001,1,157
2001,2,220
2001,3,290
2001,4,302
2001,5,266
2001,6,221
2001,7,397
2001,8,292
2001,9,381
2001,10,438
2001,11,373
2001,12,238
2002,1,166
2002,2,266
2002,3,298
2002,4,238
2002,5,241
2002,6,299
2002,7,258
2002,8,192
2002,9,240
2002,10,253
2002,11,203
2002,12,167
2003,1,169
2003,2,264
2003,3,361
2003,4,338
2003,5,347
2003,6,345
2003,7,308
2003,8,300
2003,9,307
2003,10,312
2003,11,228
2003,12,152
2004,1,119
2004,2,180
2004,3,215
2004,4,251
2004,5,273
2004,6,281
2004,7,246
2004,8,292
2004,9,259
2004,10,330
2004,11,236
2004,12,177
2005,1,153
2005,2,191
2005,3,233
2005,4,202
2005,5,248
2005,6,224
2005,7,246
2005,8,244
2005,9,242
2005,10,188
2005,11,246
2005,12,192
2006,1,183
2006,2,226
2006,3,250
2006,4,291
2006,5,348
2006,6,227
2006,7,260
2006,8,264
2006,9,201
2006,10,192
2006,11,122
2006,12,111
2007,1,102
2007,2,139
2007,3,156
2007,4,190
2007,5,166
2007,6,164
2007,7,173
2007,8,130
2007,9,143
2007,10,142
2007,11,104
2007,12,104
2008,1,84
2008,2,78
2008,3,110
2008,4,93
2008,5,92
2008,6,107
2008,7,88
2008,8,82
2008,9,92
2008,10,88
2008,11,89
2008,12,67
2009,1,81
2009,2,90
2009,3,96
2009,4,105
2009,5,86
2009,6,151
2009,7,108
2009,8,101
2009,9,82
2009,10,117
2009,11,83
2009,12,77
2010,1,83
2010,2,104
2010,3,165
2010,4,124
2010,5,139
2010,6,116
2010,7,104
2010,8,75
2010,9,76
2010,10,105
2010,11,99
2010,12,49